Release,Published_at
Release-3.2.0,2021-08-18T13:41:15Z
v3.1.0,2020-05-06T09:31:04Z
Release-2.4.0,2019-12-06T06:55:04Z
Release-3.0.0,2019-08-20T13:11:39Z
Release-2.3.0,2019-08-16T08:47:28Z
Release-2.2.0,2019-05-06T11:57:13Z
Release-2.1.0,2019-03-08T09:34:31Z
Release-2.0.2,2019-01-30T12:18:53Z
Release-2.0.1,2019-01-11T09:21:53Z
Release-2.0.0,2018-12-03T03:18:46Z
2.0.0-alpha,2018-08-25T06:59:15Z
v1.5.1,2018-05-02T08:22:23Z
v1.5.0,2018-04-13T11:55:39Z
v1.4.0,2018-01-31T11:56:29Z
v1.3.0,2017-11-21T15:40:00Z
v1.2.1,2017-10-26T12:17:52Z
v1.2.0,2017-09-13T12:18:06Z
v1.1.0,2017-07-26T12:13:27Z
v1.0.0,2017-06-15T16:09:11Z
